,Company Name,Industry,Symbol,Series,ISIN Code
80,Network18 Media & Investments Ltd.,MEDIA & ENTERTAINMENT,NETWORK18,EQ,INE870H01013
81,PVR Ltd.,MEDIA & ENTERTAINMENT,PVR,EQ,INE191H01014
82,Sun TV Network Ltd.,MEDIA & ENTERTAINMENT,SUNTV,EQ,INE424H01027
83,TV Today Network Ltd.,MEDIA & ENTERTAINMENT,TVTODAY,EQ,INE038F01029
84,TV18 Broadcast Ltd.,MEDIA & ENTERTAINMENT,TV18BRDCST,EQ,INE886H01027
85,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,ZEEL,EQ,INE256A01028
86,Zee Media Corporation Ltd.,MEDIA & ENTERTAINMENT,ZEEMEDIA,EQ,INE966H01019
87,Aurobindo Pharma Ltd.,PHARMA,AUROPHARMA,EQ,INE406A01037
88,Biocon Ltd.,PHARMA,BIOCON,EQ,INE376G01013
89,Cadila Healthcare Ltd.,PHARMA,CADILAHC,EQ,INE010B01027
90,Cipla Ltd.,PHARMA,CIPLA,EQ,INE059A01026
91,Divi's Laboratories Ltd.,PHARMA,DIVISLAB,EQ,INE361B01024
92,Dr. Reddy's Laboratories Ltd.,PHARMA,DRREDDY,EQ,INE089A01023
93,Glenmark Pharmaceuticals Ltd.,PHARMA,GLENMARK,EQ,INE935A01035
94,Lupin Ltd.,PHARMA,LUPIN,EQ,INE326A01037
95,Piramal Enterprises Ltd.,PHARMA,PEL,EQ,INE140A01024
96,Sun Pharmaceutical Industries Ltd.,PHARMA,SUNPHARMA,EQ,INE044A01036
97,Allahabad Bank,FINANCIAL SERVICES,ALBK,EQ,INE428A01015
99,Bank of India,FINANCIAL SERVICES,BANKINDIA,EQ,INE084A01016
100,Canara Bank,FINANCIAL SERVICES,CANBK,EQ,INE476A01014
101,Central Bank of India,FINANCIAL SERVICES,CENTRALBK,EQ,INE483A01010
102,Indian Bank,FINANCIAL SERVICES,INDIANB,EQ,INE562A01011
103,Jammu & Kashmir Bank Ltd.,FINANCIAL SERVICES,J&KBANK,EQ,INE168A01041
104,Oriental Bank of Commerce,FINANCIAL SERVICES,ORIENTBANK,EQ,INE141A01014
107,Syndicate Bank,FINANCIAL SERVICES,SYNDIBANK,EQ,INE667A01018
108,Union Bank of India,FINANCIAL SERVICES,UNIONBANK,EQ,INE692A01016
109,Brigade Enterprises Ltd.,CONSTRUCTION,BRIGADE,EQ,INE791I01019
110,DLF Ltd.,CONSTRUCTION,DLF,EQ,INE271C01023
111,Godrej Properties Ltd.,CONSTRUCTION,GODREJPROP,EQ,INE484J01027
112,Indiabulls Real Estate Ltd.,CONSTRUCTION,IBREALEST,EQ,INE069I01010
113,Mahindra Lifespace Developers Ltd.,CONSTRUCTION,MAHLIFE,EQ,INE813A01018
114,Oberoi Realty Ltd.,CONSTRUCTION,OBEROIRLTY,EQ,INE093I01010
115,Phoenix Mills Ltd.,CONSTRUCTION,PHOENIXLTD,EQ,INE211B01039
116,Prestige Estates Projects Ltd.,CONSTRUCTION,PRESTIGE,EQ,INE811K01011
117,Sobha Ltd.,CONSTRUCTION,SOBHA,EQ,INE671H01015
118,Sunteck Realty Ltd.,CONSTRUCTION,SUNTECK,EQ,INE805D01034
120,DCB Bank Ltd.,FINANCIAL SERVICES,DCBBANK,EQ,INE503A01015
